# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 02 21:10:47 PDT 2023 [seed=1683087046578]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
66000	-24923.334466468215	-225.14840653525678	-24698.18605993296	0.9750322552265278	20.447498648826024	4.753721373862467	1.0	1.0	-24698.18605993296	0.0	-223.5894787768158
67000	-24914.118921676905	-223.2474904634028	-24690.8714312135	1.0125363838617845	20.282077353409846	4.233549179107125	1.0	1.0	-24690.8714312135	0.0	-221.80444977271551
68000	-24925.523514020417	-222.25655760603527	-24703.26695641438	0.9587241961160295	19.93530862316363	4.568211555325631	1.0	1.0	-24703.26695641438	0.0	-220.73743582229213
69000	-24916.79783795747	-222.25091413824057	-24694.54692381923	0.924064345391103	19.744370862807735	3.9414330827014594	1.0	1.0	-24694.54692381923	0.0	-220.87936975448923
70000	-24910.12051083742	-223.47685944010482	-24686.643651397317	0.9647494974885626	20.244826641990112	4.796080276693754	1.0	1.0	-24686.643651397317	0.0	-221.90906046481987
71000	-24911.66150532071	-224.40331516716444	-24687.258190153545	0.9696415397666767	20.31069626578424	4.688465056095627	1.0	1.0	-24687.258190153545	0.0	-222.85820991842428
72000	-24921.850218344225	-225.01213388508157	-24696.838084459145	0.9599816046075651	20.625300286012823	4.249829127197722	1.0	1.0	-24696.838084459145	0.0	-223.56525510831875
73000	-24915.542593933125	-225.24788035835613	-24690.29471357477	1.0040002045299588	20.74240921418944	4.362738101853543	1.0	1.0	-24690.29471357477	0.0	-223.77478049309553
74000	-24924.789890048665	-222.87549541106242	-24701.914394637603	0.9697528707267122	19.850019494085963	3.5331415585725425	1.0	1.0	-24701.914394637603	0.0	-221.6133079759612
75000	-24922.115817108068	-224.3117604539809	-24697.804056654088	1.0165690713530562	20.45972970393868	4.662794852357469	1.0	1.0	-24697.804056654088	0.0	-222.77214543189893
76000	-24928.773908495266	-224.99437956030275	-24703.779528934963	1.00337837175282	20.523588193751188	3.818669018669683	1.0	1.0	-24703.779528934963	0.0	-223.65447762283017
77000	-24920.440924297323	-223.39568179136063	-24697.045242505963	0.9703159591629991	20.28462775488454	4.150786326048292	1.0	1.0	-24697.045242505963	0.0	-221.97238399891015
